Level	Label	1	2	3	4	5	6	7	8
1	animals	animals							
2	germ-free animals		germ-free animals						
2	specific pathogen-free animals		specific pathogen-free animals						
2	gumnivores		gumnivores						
2	sentinel animals		sentinel animals						
2	captive animals		captive animals						
2	dead animals		dead animals						
2	domestic animals		domestic animals						
2	downer animals		downer animals						
2	farmed animal species		farmed animal species						
2	fistulated animals		fistulated animals						
2	mutants		mutants						
3	knockout mutants			knockout mutants					
2	food animals		food animals						
2	fur-bearing animals		fur-bearing animals						
2	game animals		game animals						
2	germ-free animals		germ-free animals						
2	invertebrates		invertebrates						
3	macroinvertebrates			macroinvertebrates					
3	soil invertebrates			soil invertebrates					
4	earthworms				earthworms				
2	laboratory animals		laboratory animals						
3	amphibians			amphibians					
4	caecilians				caecilians				
4	frogs				frogs				
5	bullfrogs					bullfrogs			
5	Xenopus laevis					Xenopus laevis			
4	salamanders and newts				salamanders and newts				
5	Ambystoma mexicanum					Ambystoma mexicanum			
3	birds			birds					
4	chickens				chickens				
4	Taeniopygia guttata				Taeniopygia guttata				
3	fish			fish					
4	Cichlidae				Cichlidae				
4	Danio rerio				Danio rerio				
4	Oncorhynchus mykiss				Oncorhynchus mykiss				
3	invertebrates			invertebrates					
4	arthropods				arthropods				
5	Merostomata					Merostomata			
4	Cephalopoda				Cephalopoda				
5	Octopoda					Octopoda			
6	Octopodidae						Octopodidae		
7	Octopus (Octopodidae)							Octopus (Octopodidae)	
5	Sepiida					Sepiida			
6	Sepiidae						Sepiidae		
4	Hydra				Hydra				
3	mammals			mammals					
4	cats				cats				
4	dogs				dogs				
4	ferrets				ferrets				
4	nonhuman primates				nonhuman primates				
5	Atelidae					Atelidae			
6	Atelinae						Atelinae		
7	Ateles							Ateles	
8	Ateles geoffroyi								Ateles geoffroyi
6	Alouatta						Alouatta		
5	Pitheciidae					Pitheciidae			
6	Callicebus						Callicebus		
7	Callicebus cupreus							Callicebus cupreus	
5	Cebidae					Cebidae			
6	Aotus (Cebidae)						Aotus (Cebidae)		
7	Aotus nancymaae							Aotus nancymaae	
6	Callimico						Callimico		
7	Callimico goeldii							Callimico goeldii	
6	Callithrix						Callithrix		
8	Callithrix aurita								Callithrix aurita
8	Callithrix flaviceps								Callithrix flaviceps
8	Callithrix geoffroyi								Callithrix geoffroyi
8	Callithrix jacchus								Callithrix jacchus
8	Callithrix penicillata								Callithrix penicillata
6	Callitrichidae						Callitrichidae		
7	Leontopithecus							Leontopithecus	
8	Leontopithecus caissara								Leontopithecus caissara
8	Leontopithecus chrysomelas								Leontopithecus chrysomelas
8	Leontopithecus chrysopygus								Leontopithecus chrysopygus
8	Leontopithecus rosalia								Leontopithecus rosalia
7	Saguinus							Saguinus	
8	Saguinus bicolor								Saguinus bicolor
8	Saguinus geoffroyi								Saguinus geoffroyi
8	Saguinus leucopus								Saguinus leucopus
8	Saguinus oedipus								Saguinus oedipus
6	Cebus						Cebus		
7	Cebus apella							Cebus apella	
7	Cebus capucinus							Cebus capucinus	
6	Saimiri						Saimiri		
7	Saimiri sciureus							Saimiri sciureus	
7	Saimiri oerstedii							Saimiri oerstedii	
7	Sapajus xanthosternos							Sapajus xanthosternos	
5	Cercopithecidae					Cercopithecidae			
6	Cercocebus						Cercocebus		
7	Cercocebus atys							Cercocebus atys	
8	Cercocebus atys lunulatus								Cercocebus atys lunulatus
7	Cercocebus galeritus							Cercocebus galeritus	
6	Cercopithecus						Cercopithecus		
7	Cercopithecus aethiops							Cercopithecus aethiops	
6	Chlorocebus						Chlorocebus		
7	Chlorocebus pygerythrus							Chlorocebus pygerythrus	
6	Macaca						Macaca		
7	Macaca arctoides							Macaca arctoides	
7	Macaca fascicularis							Macaca fascicularis	
7	Macaca fuscata							Macaca fuscata	
7	Macaca mulatta							Macaca mulatta	
7	Macaca nemestrina							Macaca nemestrina	
7	Macaca radiata							Macaca radiata	
7	Macaca silenus							Macaca silenus	
6	Papio						Papio		
7	Papio anubis							Papio anubis	
7	Papio cynocephalus							Papio cynocephalus	
7	Papio hamadryas							Papio hamadryas	
7	Papio papio							Papio papio	
7	Papio ursinus							Papio ursinus	
5	Galagidae					Galagidae			
6	Galago						Galago		
7	Galago granti							Galago granti	
5	Hominidae					Hominidae			
6	Gorilla						Gorilla		
7	Gorilla beringei							Gorilla beringei	
7	Gorilla gorilla							Gorilla gorilla	
5	Hylobatidae					Hylobatidae			
6	Hylobates						Hylobates		
7	Hylobates lar							Hylobates lar	
5	Lemuridae					Lemuridae			
6	Eulemur						Eulemur		
7	Eulemur fulvus							Eulemur fulvus	
6	Lemur						Lemur		
7	Lemur catta							Lemur catta	
6	Prolemur						Prolemur		
7	Prolemur simus							Prolemur simus	
6	Varecia						Varecia		
5	Lepilemuridae					Lepilemuridae			
6	Lepilemur						Lepilemur		
7	Lepilemur edwardsi							Lepilemur edwardsi	
5	Lorisidae					Lorisidae			
