NALT_URI	Label
https://lod.nal.usda.gov/nalt/10000	Anthocoris sibiricus
https://lod.nal.usda.gov/nalt/10004	biflavonoids
https://lod.nal.usda.gov/nalt/10004	flavans
https://lod.nal.usda.gov/nalt/10006	delphinidin chloride
https://lod.nal.usda.gov/nalt/1001	new technology
https://lod.nal.usda.gov/nalt/1001	novel technology
https://lod.nal.usda.gov/nalt/10012	anthomyiid flies
https://lod.nal.usda.gov/nalt/10013	Erioischia
https://lod.nal.usda.gov/nalt/10013	Leptohylemyia
https://lod.nal.usda.gov/nalt/10017	Chortophila
https://lod.nal.usda.gov/nalt/10021	snout beetles
https://lod.nal.usda.gov/nalt/10021	weevils
https://lod.nal.usda.gov/nalt/10022	cotton boll weevil
https://lod.nal.usda.gov/nalt/10023	apple blossom weevil
https://lod.nal.usda.gov/nalt/10024	boll weevil
https://lod.nal.usda.gov/nalt/10028	anthophorids
https://lod.nal.usda.gov/nalt/10028	cuckoo bees
https://lod.nal.usda.gov/nalt/10031	Hemisia
https://lod.nal.usda.gov/nalt/10038	Ataxia (Poaceae)
https://lod.nal.usda.gov/nalt/10038	Dimesia
https://lod.nal.usda.gov/nalt/10038	Disarrenum
https://lod.nal.usda.gov/nalt/10038	Flavia
https://lod.nal.usda.gov/nalt/10038	Foenodorum
https://lod.nal.usda.gov/nalt/10038	Savastana
https://lod.nal.usda.gov/nalt/10038	Torresia
https://lod.nal.usda.gov/nalt/10038	Xanthanthos
https://lod.nal.usda.gov/nalt/10038	Xanthonanthos
https://lod.nal.usda.gov/nalt/1004	transport (transportation)
https://lod.nal.usda.gov/nalt/10040	sweet vernal grass
https://lod.nal.usda.gov/nalt/10040	sweet vernalgrass
https://lod.nal.usda.gov/nalt/10040	vernal grass
https://lod.nal.usda.gov/nalt/10041	ALBV (Anthoxanthum latent blanching virus)
https://lod.nal.usda.gov/nalt/10042	hordeivirus group
https://lod.nal.usda.gov/nalt/10042	hordeiviruses
https://lod.nal.usda.gov/nalt/10053	fungus diseases of plants
https://lod.nal.usda.gov/nalt/10058	rugulosins
https://lod.nal.usda.gov/nalt/10061	Bacillus cereus var. anthracis
https://lod.nal.usda.gov/nalt/10061	Bacteridium anthracis
https://lod.nal.usda.gov/nalt/10063	dermestid beetles
https://lod.nal.usda.gov/nalt/10064	Anthrenus vorax
https://lod.nal.usda.gov/nalt/10064	furniture carpet beetle
https://lod.nal.usda.gov/nalt/10065	varied carpet beetle
https://lod.nal.usda.gov/nalt/10073	fungus weevils
https://lod.nal.usda.gov/nalt/10077	garden chervil
https://lod.nal.usda.gov/nalt/10078	cow parsley
https://lod.nal.usda.gov/nalt/10078	wild chervil
https://lod.nal.usda.gov/nalt/1008	railway tracks
https://lod.nal.usda.gov/nalt/1008	railways
https://lod.nal.usda.gov/nalt/1008	train tracks
https://lod.nal.usda.gov/nalt/10082	anthropogenic disturbances
https://lod.nal.usda.gov/nalt/10082	anthropogenic effects
https://lod.nal.usda.gov/nalt/10082	anthropogenic impacts
https://lod.nal.usda.gov/nalt/10082	anthropogenic influences
https://lod.nal.usda.gov/nalt/10082	human activity (environmental impact)
https://lod.nal.usda.gov/nalt/10082	human impact
https://lod.nal.usda.gov/nalt/10088	ethnography
https://lod.nal.usda.gov/nalt/10089	ecological risk assessment
https://lod.nal.usda.gov/nalt/10089	environmental analysis
https://lod.nal.usda.gov/nalt/10089	environmental evaluation
https://lod.nal.usda.gov/nalt/10089	environmental impact assessment
https://lod.nal.usda.gov/nalt/10089	environmental risk assessment
https://lod.nal.usda.gov/nalt/10090	ecological consequences
https://lod.nal.usda.gov/nalt/10091	human activity (behavior)
https://lod.nal.usda.gov/nalt/10091	human behaviour
https://lod.nal.usda.gov/nalt/10096	eroded sites
https://lod.nal.usda.gov/nalt/10099	mined land
https://lod.nal.usda.gov/nalt/1010	bicycle paths
https://lod.nal.usda.gov/nalt/1010	bicycle trails
https://lod.nal.usda.gov/nalt/1010	bike paths
https://lod.nal.usda.gov/nalt/1010	bike trails
https://lod.nal.usda.gov/nalt/1010	biking paths
https://lod.nal.usda.gov/nalt/1010	biking trails
https://lod.nal.usda.gov/nalt/1010	bridle paths
https://lod.nal.usda.gov/nalt/1010	footpaths
https://lod.nal.usda.gov/nalt/1010	forest trails
https://lod.nal.usda.gov/nalt/1010	hiking paths
