Level,Label,Score,NALT_URI,1,2,3,4,5,6,7,8
1,animals,1,https://lod.nal.usda.gov/nalt/65,animals,,,,,,,
2,germ-free animals,1,https://lod.nal.usda.gov/nalt/9584,,germ-free animals,,,,,,
2,specific pathogen-free animals,1,https://lod.nal.usda.gov/nalt/42856,,specific pathogen-free animals,,,,,,
2,sentinel animals,1,https://lod.nal.usda.gov/nalt/46008,,sentinel animals,,,,,,
2,captive animals,1,https://lod.nal.usda.gov/nalt/105920,,captive animals,,,,,,
2,dead animals,1,https://lod.nal.usda.gov/nalt/45,,dead animals,,,,,,
2,domestic animals,1,https://lod.nal.usda.gov/nalt/9579,,domestic animals,,,,,,
2,downer animals,1,https://lod.nal.usda.gov/nalt/9580,,downer animals,,,,,,
2,farmed animal species,1,https://lod.nal.usda.gov/nalt/7150,,farmed animal species,,,,,,
2,fistulated animals,1,https://lod.nal.usda.gov/nalt/339492,,fistulated animals,,,,,,
2,mutants,1,https://lod.nal.usda.gov/nalt/14079,,mutants,,,,,,
3,knockout mutants,1,https://lod.nal.usda.gov/nalt/48530,,,knockout mutants,,,,,
2,food animals,1,https://lod.nal.usda.gov/nalt/9581,,food animals,,,,,,
2,fur-bearing animals,1,https://lod.nal.usda.gov/nalt/9582,,fur-bearing animals,,,,,,
2,game animals,1,https://lod.nal.usda.gov/nalt/9583,,game animals,,,,,,
2,germ-free animals,1,https://lod.nal.usda.gov/nalt/9584,,germ-free animals,,,,,,
2,invertebrates,1,https://lod.nal.usda.gov/nalt/9359,,invertebrates,,,,,,
3,macroinvertebrates,1,https://lod.nal.usda.gov/nalt/47594,,,macroinvertebrates,,,,,
3,soil invertebrates,1,https://lod.nal.usda.gov/nalt/35133,,,soil invertebrates,,,,,
4,earthworms,1,https://lod.nal.usda.gov/nalt/35126,,,,earthworms,,,,
2,laboratory animals,1,https://lod.nal.usda.gov/nalt/9147,,laboratory animals,,,,,,
3,amphibians,1,https://lod.nal.usda.gov/nalt/40,,,amphibians,,,,,
4,caecilians,1,https://lod.nal.usda.gov/nalt/68520,,,,caecilians,,,,
4,frogs,1,https://lod.nal.usda.gov/nalt/7156,,,,frogs,,,,
5,bullfrogs,1,https://lod.nal.usda.gov/nalt/337027,,,,,bullfrogs,,,
5,Xenopus laevis,1,https://lod.nal.usda.gov/nalt/63629,,,,,Xenopus laevis,,,
4,salamanders and newts,1,https://lod.nal.usda.gov/nalt/8080,,,,salamanders and newts,,,,
5,Ambystoma mexicanum,1,https://lod.nal.usda.gov/nalt/255147,,,,,Ambystoma mexicanum,,,
3,birds,1,https://lod.nal.usda.gov/nalt/106,,,birds,,,,,
4,chickens,1,https://lod.nal.usda.gov/nalt/19929,,,,chickens,,,,
4,Taeniopygia guttata,1,https://lod.nal.usda.gov/nalt/190060,,,,Taeniopygia guttata,,,,
3,fish,1,https://lod.nal.usda.gov/nalt/845,,,fish,,,,,
4,Cichlidae,1,https://lod.nal.usda.gov/nalt/26238,,,,Cichlidae,,,,
4,Danio rerio,1,https://lod.nal.usda.gov/nalt/69971,,,,Danio rerio,,,,
4,Oncorhynchus mykiss,1,https://lod.nal.usda.gov/nalt/55842,,,,Oncorhynchus mykiss,,,,
3,invertebrates,1,https://lod.nal.usda.gov/nalt/9359,,,invertebrates,,,,,
4,arthropods,1,https://lod.nal.usda.gov/nalt/79,,,,arthropods,,,,
5,Merostomata,1,https://lod.nal.usda.gov/nalt/24577,,,,,Merostomata,,,
4,Cephalopoda,1,https://lod.nal.usda.gov/nalt/637,,,,Cephalopoda,,,,
5,Octopoda,1,https://lod.nal.usda.gov/nalt/285121,,,,,Octopoda,,,
6,Octopodidae,1,https://lod.nal.usda.gov/nalt/23765,,,,,,Octopodidae,,
7,Octopus (Octopodidae),1,https://lod.nal.usda.gov/nalt/55627,,,,,,,Octopus (Octopodidae),
5,Sepiida,1,https://lod.nal.usda.gov/nalt/285118,,,,,Sepiida,,,
6,Sepiidae,1,https://lod.nal.usda.gov/nalt/23767,,,,,,Sepiidae,,
4,Hydra,1,https://lod.nal.usda.gov/nalt/46250,,,,Hydra,,,,
3,mammals,1,https://lod.nal.usda.gov/nalt/558,,,mammals,,,,,
4,cats,1,https://lod.nal.usda.gov/nalt/22915,,,,cats,,,,
4,dogs,1,https://lod.nal.usda.gov/nalt/21847,,,,dogs,,,,
4,ferrets,1,https://lod.nal.usda.gov/nalt/39893,,,,ferrets,,,,
5,Atelidae,1,https://lod.nal.usda.gov/nalt/221169,,,,,Atelidae,,,
6,Atelinae,1,https://lod.nal.usda.gov/nalt/221170,,,,,,Atelinae,,
7,Ateles,1,https://lod.nal.usda.gov/nalt/13564,,,,,,,Ateles,
