Level,Label,Score,Nalt_URI,1,2,3,4,5,6,7,8
2,gumnivores,82.35294118,,,gumnivores,,,,,,
4,nonhuman primates,63.63636364,,,,,nonhuman primates,,,,
7,Callicebus cupreus,72,,,,,,,,Callicebus cupreus,
7,Cercocebus atys,76.19047619,,,,,,,,Cercocebus atys,
8,Cercocebus atys lunulatus,57.14285714,,,,,,,,,Cercocebus atys lunulatus
5,New Zealand White Rabbit,100,,,,,,New Zealand White Rabbit,,,
2,animal exercise wheel,51.85185185,,,animal exercise wheel,,,,,,
2,Boomer balls,51.85185185,,,Boomer balls,,,,,,
3,food puzzles,63.15789474,,,,food puzzles,,,,,
3,forage boxes,63.63636364,,,,forage boxes,,,,,
3,gum feeding,70,,,,gum feeding,,,,,
2,manipulanda,58.82352941,,,manipulanda,,,,,,
2,mirrors,54.54545455,,,mirrors,,,,,,
3,looky lous,44.44444444,,,,looky lous,,,,,
2,music enrichment,69.23076923,,,music enrichment,,,,,,
2,occupational enrichment,68.29268293,,,occupational enrichment,,,,,,
2,physical enrichment,70.96774194,,,physical enrichment,,,,,,
2,sensory enrichment,66.66666667,,,sensory enrichment,,,,,,
2,activity budget,53.84615385,,,activity budget,,,,,,
3,gumivory,66.66666667,,,,gumivory,,,,,
3,herbaceous browse,62.5,,,,herbaceous browse,,,,,
2,nesting behavior,83.87096774,,,nesting behavior,,,,,,
3,positive reinforcement training,59.09090909,,,,positive reinforcement training,,,,,
2,medical and veterinary education,79.16666667,,,medical and veterinary education,,,,,,
3,live tissue training,59.25925926,,,,live tissue training,,,,,
3,pulsatile fresh frozen human cadaver circulation model (PHCM),56,,,,pulsatile fresh frozen human cadaver circulation model (PHCM),,,,,
3,manikins,72.72727273,,,,manikins,,,,,
4,high fidelity simulation training,53.06122449,,,,,high fidelity simulation training,,,,
3,plastination,66.66666667,,,,plastination,,,,,
3,simulation training,68.57142857,,,,simulation training,,,,,
3,Simulation-based trauma education (SBTE),51.06382979,,,,Simulation-based trauma education (SBTE),,,,,
2,cup handling,69.56521739,,,cup handling,,,,,,
2,rat tickling,66.66666667,,,rat tickling,,,,,,
3,laboratory animal jackets,76.92307692,,,,laboratory animal jackets,,,,,
3,laboratory animal undershirts,69.76744186,,,,laboratory animal undershirts,,,,,
3,pole and collar technique,57.77777778,,,,pole and collar technique,,,,,
3,primate chairs,61.53846154,,,,primate chairs,,,,,
2,tunnel handling,66.66666667,,,tunnel handling,,,,,,
4,enriched cages,66.66666667,,,,,enriched cages,,,,
4,individually ventilated cages (IVC),47.22222222,,,,,individually ventilated cages (IVC),,,,
4,standard cages,66.66666667,,,,,standard cages,,,,
4,single-sex housing,69.23076923,,,,,single-sex housing,,,,
5,bachelor groups,56,,,,,,bachelor groups,,,
1,laboratory animal procedures,71.42857143,,laboratory animal procedures,,,,,,,
3,ear notching,55.55555556,,,,ear notching,,,,,
3,toe clipping,58.82352941,,,,toe clipping,,,,,
2,minimally-invasive methods,46.15384615,,,minimally-invasive methods,,,,,,
2,noninvasive procedures,57.89473684,,,noninvasive procedures,,,,,,
3,facial vein puncture,55.17241379,,,,facial vein puncture,,,,,
3,femoral vein puncture,62.85714286,,,,femoral vein puncture,,,,,
3,gingival vein puncture,48.48484848,,,,gingival vein puncture,,,,,
3,saphenous vein puncture,74.28571429,,,,saphenous vein puncture,,,,,
3,sublingual vein puncture,44.44444444,,,,sublingual vein puncture,,,,,
3,submandibular vein puncture,51.28205128,,,,submandibular vein puncture,,,,,
3,tail vein puncture,51.85185185,,,,tail vein puncture,,,,,
2,buccal swabs,50,,,buccal swabs,,,,,,
2,cerebrospinal fluid collection,76.59574468,,,cerebrospinal fluid collection,,,,,,
2,fecal collection,71.42857143,,,fecal collection,,,,,,
2,substance administration,71.79487179,,,substance administration,,,,,,
3,oral gavage,53.33333333,,,,oral gavage,,,,,
3,syringe feeding,72.72727273,,,,syringe feeding,,,,,
2,urine collection,75.86206897,,,urine collection,,,,,,
3,intracranial injection,73.68421053,,,,intracranial injection,,,,,
3,intrathecal injection,75.67567568,,,,intrathecal injection,,,,,
