Label,Score,Nalt_URI,COTT_DEF
cotton gin,100,https://lod.nal.usda.gov/nalt/243961,A machine that separates raw cotton fibers from their seeds.
cotton ginning,100,https://lod.nal.usda.gov/nalt/29633,The process of using a cotton gin machine to separate the cotton seed from the lint.
cotton,100,https://lod.nal.usda.gov/nalt/4418,
seed cotton,100,https://lod.nal.usda.gov/nalt/29622,Unginned cotton which consists of the seed with the attached lint as picked from the boll.
lint cotton,100,https://lod.nal.usda.gov/nalt/29621,Cotton fibers that have been removed from the seed during the cotton ginning process.
yarn quality,100,https://lod.nal.usda.gov/nalt/272545,
yarns,100,https://lod.nal.usda.gov/nalt/48528,
cotton fabric,100,https://lod.nal.usda.gov/nalt/29623,
cotton industry,100,https://lod.nal.usda.gov/nalt/5344,
cottonseed,100,https://lod.nal.usda.gov/nalt/29647,
Gossypium hirsutum,100,https://lod.nal.usda.gov/nalt/29627,
Gossypium barbadense,100,https://lod.nal.usda.gov/nalt/29625,
bales,100,https://lod.nal.usda.gov/nalt/324514,
square bales,100,https://lod.nal.usda.gov/nalt/324518,
round bales,100,https://lod.nal.usda.gov/nalt/324515,
lint yield,100,https://lod.nal.usda.gov/nalt/123248,The quantity of cotton fiber produced per unit of land.
balers,100,https://lod.nal.usda.gov/nalt/15623,"A machine that picks up a windrow of forage, compresses it, forms it into a rectangular or cylindrical bale, wraps it, and discharges it either onto the ground or into a trailing, convenient hauling vehicle. Bale size is highly variable among models."
staple (fibers),100,https://lod.nal.usda.gov/nalt/64112,"Short fibers cut to a specific length to be twisted together to form a yarn for weaving or knitting into fabrics, or for tufting into carpets. Cotton, flax, and wool exist only as staple fibers. Nylon and polyester are synthetic fibers available in staple form."
micronaire,100,https://lod.nal.usda.gov/nalt/123249,A combined measure of cotton fiber fineness and maturity based upon fiber perimeter and fiber wall thickness.
cotton gin trash,100,https://lod.nal.usda.gov/nalt/29631,Cotton seed coat fragments that are shattered or torn off during ginning and appear in the fibers as contaminants for yarn production.
