Label
location
forage crop
annual forage crop
perennial forage crop
forage crop species
mixture number
forage treatment
replicate number
biomass yield
dry matter yield
least significant difference
irrigation volume
nitrogen rate
phosphorus rate
potassium rate
plot data
mean data
cultivar
harvest number
soil series
coefficient of variation
relative proportion of species
cutting height
plot area
harvested area
precipitation
oven dry matter
soil nitrogen
soil phosphorus
soil potassium
biotic pest control
grazer density
grazing duration
stocking method
ruminant type
Phleum pretense
Digitaria decumbens
Psathyrostachys junceus
Agropyron trichophorum
Brornus inermis
Lespedeza virginica
Tritosecale rimpui
Elytrigia repens
Schedonorus pratensis
Dactylis glomerata L
Panicum virgatum L.
Panicum maximum Jacq.
Schenodorus arundinaceus
Schendorus pratensis
Agropyron desertorum x A.cristatum
Schenodorus pratensis
Sorghastum nutans
Dactylis glomerate
Schedonorus arundinaceus
Festulolium braunii
Bromus wildenowii
Bromus marginatus
Phleum pretense
Lolium hybridum
Fetsulolium braunii
Sorghum bicolor L.
Bromus sitchensis
Brassica juncia
Raphanus raphanistrum subsp. sativus
Brassica sp.
Desmodium canon
Coronilla varia
Aastragalus falcatus
Schrankia nuttallii
Melilotus officianalis
Visia villosa
Demanthus illinoensis
Trifolium pratense L.
Crotalaria juncea L.
Cajanus cajan L.
Trifolimn pratene
