our_concept,our_def
location,
latitude,
longitude,
forage crop,
annual forage crop,
perennial forage crop,
forage crop species,
mixture number,
planting date,
harvest date,
forage treatment,
replicate number,
biomass yield,
dry matter yield,
least significant difference,
irrigation volume,
nitrogen rate,
phosphorus rate,
potassium rate,
plot data,
mean data,
livestock,
grain yield,
cultivar,
harvest number,
soil series,
coefficient of variation,
relative proportion of species,
cutting height,
plot area,
harvested area,
precipitation,
temperature,
oven dry matter,
soil carbon,
soil nitrogen,
soil phosphorus,
soil potassium,
soil pH,
bulk density,
soil depth,
biotic pest control,
grazer density,
grazing duration,
stocking method,
ruminant type,
weight gain,
Medicago sativa,
Bromus inermis,
Dactylis glomerata,
Phleum pretense,
Digitaria decumbens,
Agropyron cristatum,
Psathyrostachys junceus,
Agropyron trichophorum,
Festuca arundinacea,
Brornus inermis,
Lolium perenne,
Phalaris arundinacea,
Panicum virgatum,
Bouteloua curtipendula,
Sorghastrum nutans,
Thinopyrum intermedium,
Desmanthus illinoensis,
Lespedeza capitata,
Lespedeza virginica,
Poa pratensis,
Secale cereale,
Hordeum vulgare,
Triticum aestivum,
Tritosecale rimpui,
Avena sativa,
Elytrigia repens,
Schedonorus pratensis,
Silphium perfoliatum,
Tripsacum dactyloides,
Panicum Virgatum,
Dactylis glomerata L,
Panicum virgatum L.,
Panicum maximum Jacq.,
Bromus biebersteinii,
Schenodorus arundinaceus,
Schendorus pratensis,
Agropyron desertorum x A.cristatum,
Thinopyrum ponticum,
Pascopyrum smithii,
Schenodorus pratensis,
Zea mays,
Andropogon gerardii,
Sorghastum nutans,
Digitaria sanguinalis,
Cynodon dactylon,
Dactylis glomerate,
Schedonorus arundinaceus,
Festulolium braunii,
Bromus wildenowii,
Bromus marginatus,
Phleum pretense,
Alopecurus arundinaceus,​
Lolium hybridum,
Fetsulolium braunii,
Lolium multiflorum,
Sorghum bicolor L.,
Bromus sitchensis,
Arrhenatherum elatius,
Bromus riparius,
Brassica carinata,
Brassica oleracea,
Brassica juncia,
Raphanus raphanistrum subsp. sativus,
Brassica napus,
Brassica sp.,
Eragrostis tef,
Desmodium canon,
Desmodium intortum,
Trifolium pratense,
Lotus corniculatus,
Coronilla varia,
Aastragalus falcatus,
Onobrychis viciifolia,
Astragalus falcatus,
Trifolium repens,
Dalea purpurea,
Amorpha canescens,
Schrankia nuttallii,
Astragalus cicer,
Melilotus albus,
Melilotus officianalis,
Vicia villosa,
Trifolium ambiguum,
Visia villosa,
Pisum sativum,
Trifolium incarnatum,
Demanthus illinoensis,
Melilotus officinalis,
Trifolium vesiculosum,
Chamaecrista fasciculata,
Trifolium pratense L.,
Crotalaria juncea L.,
Chamaecrista fasciculata,
Cajanus cajan L.,
Trifolimn pratene,
Desmodium canadense,
Lespedeza capitat,
