Label	our_def
agricultural economics	NALT preferred term.
domestic markets	NALT preferred term.
exports	NALT preferred term.
tariffs	NALT preferred term.
trade	NALT preferred term.
economic policy	NALT preferred term.
world markets	NALT preferred term.
imports	NALT preferred term.
bioenergy	NALT preferred term.
oilseeds	NALT preferred term.
cellulose	NALT preferred term.
biorefining	NALT preferred term.
animals	NALT preferred term.
animal characteristics	NALT preferred term.
socioeconomics	NALT preferred term.
life cycle assessment	NALT preferred term.
animal production	NALT preferred term.
organic production	NALT preferred term.
range management	NALT preferred term.
animal manure management	NALT preferred term.
animal health	NALT preferred term.
human nutrition	NALT preferred term.
food composition	NALT preferred term.
nutrition	NALT preferred term.
food safety	NALT preferred term.
spoilage microorganisms	NALT preferred term.
genomics	NALT preferred term.
genetics	NALT preferred term.
transcriptome	NALT preferred term.
expressed sequence tags	NALT preferred term.
nucleotide sequences	NALT preferred term.
genome assembly	NALT preferred term.
genetic variation	NALT preferred term.
proteome	NALT preferred term.
phenotype	NALT preferred term.
transcriptomics 	NALT preferred term.
DNA microarrays	NALT preferred term.
nucleotide sequences	NALT preferred term.
metabolome	NALT preferred term.
metagenomics	NALT preferred term.
genome  	NALT preferred term.
genome assembly	NALT preferred term.
genetic markers	NALT preferred term.
Natural Resources, Earth and Environmental Sciences	NALT preferred term.
water	NALT preferred term.
limnology 	NALT preferred term.
water quality	NALT preferred term.
hydrology	NALT preferred term.
evapotranspiration	NALT preferred term.
weather	NALT preferred term.
climate	NALT preferred term.
animals	NALT preferred term.
vegetation	NALT preferred term.
biomass	NALT preferred term.
yields	NALT preferred term.
species diversity	NALT preferred term.
parasites	NALT preferred term.
pest vectors	NALT preferred term.
natural resource management	NALT preferred term.
microbial ecology	NALT preferred term.
pollinators	NALT preferred term.
soil	NALT preferred term.
soil properties	NALT preferred term.
soil biota	NALT preferred term.
soil organic matter	NALT preferred term.
soil classification	NALT preferred term.
soil nutrients	NALT preferred term.
biogeochemistry	NALT preferred term.
socioeconomics	NALT preferred term.
invasive species	NALT preferred term.
plant pests	NALT preferred term.
Earth atmosphere	NALT preferred term.
greenhouse gases	NALT preferred term.
particulate emissions	NALT preferred term.
air pollutants	NALT preferred term.
geography	NALT preferred term.
remote sensing	NALT preferred term.
digital elevation models	NALT preferred term.
land cover	NALT preferred term.
land use	NALT preferred term.
crops	NALT preferred term.
life cycle assessment	NALT preferred term.
plant health	NALT preferred term.
plant characteristics	NALT preferred term.
socioeconomics	NALT preferred term.
crop production	NALT preferred term.
soil conservation	NALT preferred term.
organic production	NALT preferred term.
tillage	NALT preferred term.
nutrient management	NALT preferred term.
cropping systems	NALT preferred term.
good agricultural practices	NALT preferred term.
integrated pest magagement	NALT preferred term.
agricultural products	NALT preferred term.
crops	NALT preferred term.
grains	NALT preferred term.
corn	NALT preferred term.
oats	NALT preferred term.
wheat	NALT preferred term.
rice	NALT preferred term.
plant fibers	NALT preferred term.
cotton	NALT preferred term.
legumes	NALT preferred term.
peanuts	NALT preferred term.
soybeans	NALT preferred term.
oilseeds	NALT preferred term.
peanuts	NALT preferred term.
soybeans	NALT preferred term.
rapeseed	NALT preferred term.
specialty crops	NALT preferred term.
animals	NALT preferred term.
eggs	NALT preferred term.
dairly products	NALT preferred term.
ewe milk	NALT preferred term.
goat milk	NALT preferred term.
milk	NALT preferred term.
animal fibers	NALT preferred term.
alpacas	NALT preferred term.
sheep	NALT preferred term.
goats	NALT preferred term.
meat	NALT preferred term.
poultry meat	NALT preferred term.
sheep meat	NALT preferred term.
pork	NALT preferred term.
goat meat	NALT preferred term.
seafoods	NALT preferred term.
beef	NALT preferred term.
visual aids	NALT preferred term.
cartography	NALT preferred term.
land use and land cover maps	NALT preferred term.
geographic information systems	NALT preferred term.
land use and land cover maps	NALT preferred term.
photographs	NALT preferred term.
landforms	NALT preferred term.
organisms	NALT preferred term.
ecosystems	NALT preferred term.
databases	NALT preferred term.
Agricultural Economics	ADC Term level 1.
Bioenergy	ADC Term level 1.
Animals & Livestock	ADC Term level 1.
Food & Nutrition	ADC Term level 1.
Genomics & Genetics	ADC Term level 1.
Agroecosystems & Environment	ADC Term level 1.
Plants & Crops	ADC Term level 1.
Agricultural Products	ADC Term level 1.
Maps & Multimedia	ADC Term level 1.
Online Database	ADC Term level 1.
Domestic Markets	ADC Term level 2.
Exports	ADC Term level 2.
Tariffs	ADC Term level 2.
Trade	ADC Term level 2.
Policy	ADC Term level 2.
International Markets	ADC Term level 2.
Imports	ADC Term level 2.
Oilseed	ADC Term level 2.
Cellulose	ADC Term level 2.
Ag Waste Reclamation	ADC Term level 2.
biorefactor	Was parenthetical to Ag Waste Reclamation.
refinery	Was parenthetical to Ag Waste Reclamation.
Traits	ADC Term level 2.
Socioeconomics	ADC Term level 2.
Life Cycle Assessment	ADC Term level 2.
Animal Production	ADC Term level 2.
Animal Health	ADC Term level 2.
Food Composition	ADC Term level 2.
Nutrition	ADC Term level 2.
Food Safety	ADC Term level 2.
Transcriptome	ADC Term level 2.
Raw Sequence	ADC Term level 2.
Sequence Assembly	ADC Term level 2.
Variants	ADC Term level 2.
Proteomes	ADC Term level 2.
Phenotypes	ADC Term level 2.
Expression Analysis	ADC Term level 2.
Metabolomes	ADC Term level 2.
Metagenomics	ADC Term level 2.
Genome	ADC Term level 2.
Water	ADC Term level 2.
Weather and Climate	ADC Term level 2.
Plant and Animal	ADC Term level 2.
Parasites and Vectors	ADC Term level 2.
Management	ADC Term level 2.
Microbial Ecology	ADC Term level 2.
Pollinators	ADC Term level 2.
Soil	ADC Term level 2.
Socioeconomics	ADC Term level 2.
Invasive Species	ADC Term level 2.
Agricultural Pests	ADC Term level 2.
Atmosphere	ADC Term level 2.
Geography	ADC Term level 2.
Life Cycle Assessment	ADC Term level 2.
Plant Health	ADC Term level 2.
Traits	ADC Term level 2.
Socioeconomics	ADC Term level 2.
Crop Production	ADC Term level 2.
Plants	ADC Term level 2.
Animals	ADC Term level 2.
Maps	ADC Term level 2.
GIS Data and Images	ADC Term level 2.
Images	ADC Term level 2.
non-GIS images	non-GIS was parenthetical to Images
Organic Farming	ADC Term level 3.
Range Management	ADC Term level 3.
Manure Management	ADC Term level 3.
Microorganisms	ADC Term level 3.
Transcriptome Annotation	ADC Term level 3.
Transcriptome Assembly	ADC Term level 3.
Expressed Sequence Tags	ADC Term level 3.
