NALT_URI	Label
https://lod.nal.usda.gov/nalt/10000	Anthocoris sibiricus
https://lod.nal.usda.gov/nalt/10004	biflavonoids
https://lod.nal.usda.gov/nalt/10006	delphinidin chloride
https://lod.nal.usda.gov/nalt/1001	new technology
https://lod.nal.usda.gov/nalt/10012	anthomyiid flies
https://lod.nal.usda.gov/nalt/10013	Erioischia
https://lod.nal.usda.gov/nalt/10017	Chortophila
https://lod.nal.usda.gov/nalt/10021	snout beetles
https://lod.nal.usda.gov/nalt/10022	cotton boll weevil
https://lod.nal.usda.gov/nalt/10023	apple blossom weevil
https://lod.nal.usda.gov/nalt/10024	boll weevil
https://lod.nal.usda.gov/nalt/10028	anthophorids
https://lod.nal.usda.gov/nalt/10031	Hemisia
https://lod.nal.usda.gov/nalt/10038	Ataxia (Poaceae)
https://lod.nal.usda.gov/nalt/1004	transport (transportation)
https://lod.nal.usda.gov/nalt/10040	sweet vernal grass
https://lod.nal.usda.gov/nalt/10041	ALBV (Anthoxanthum latent blanching virus)
https://lod.nal.usda.gov/nalt/10042	hordeivirus group
https://lod.nal.usda.gov/nalt/10053	fungus diseases of plants
https://lod.nal.usda.gov/nalt/10058	rugulosins
https://lod.nal.usda.gov/nalt/10061	Bacillus cereus var. anthracis
https://lod.nal.usda.gov/nalt/10063	dermestid beetles
https://lod.nal.usda.gov/nalt/10064	Anthrenus vorax
https://lod.nal.usda.gov/nalt/10065	varied carpet beetle
https://lod.nal.usda.gov/nalt/10073	fungus weevils
https://lod.nal.usda.gov/nalt/10077	garden chervil
https://lod.nal.usda.gov/nalt/10078	cow parsley
https://lod.nal.usda.gov/nalt/1008	railway tracks
https://lod.nal.usda.gov/nalt/10082	anthropogenic disturbances
https://lod.nal.usda.gov/nalt/10088	ethnography
https://lod.nal.usda.gov/nalt/10089	ecological risk assessment
https://lod.nal.usda.gov/nalt/10090	ecological consequences
https://lod.nal.usda.gov/nalt/10091	human activity (behavior)
https://lod.nal.usda.gov/nalt/10096	eroded sites
https://lod.nal.usda.gov/nalt/10099	mined land
https://lod.nal.usda.gov/nalt/1010	bicycle paths
https://lod.nal.usda.gov/nalt/10102	contaminated soils
https://lod.nal.usda.gov/nalt/10103	polder soils
https://lod.nal.usda.gov/nalt/10108	culinary heritage
https://lod.nal.usda.gov/nalt/10109	ethnomedicine
https://lod.nal.usda.gov/nalt/10110	artisanal methods
https://lod.nal.usda.gov/nalt/10111	social systems
https://lod.nal.usda.gov/nalt/10118	BMI (body mass index)
https://lod.nal.usda.gov/nalt/1012	tramlines (controlled traffic)
https://lod.nal.usda.gov/nalt/10122	engineering psychology
https://lod.nal.usda.gov/nalt/10123	stature
https://lod.nal.usda.gov/nalt/10124	mini nutrition assessment
https://lod.nal.usda.gov/nalt/10125	skin fold thickness
https://lod.nal.usda.gov/nalt/10127	Anthurium andreanum
https://lod.nal.usda.gov/nalt/10129	common kidneyvetch
https://lod.nal.usda.gov/nalt/10133	anti-arrhythmia agents
https://lod.nal.usda.gov/nalt/10135	anti-diarrhea effect
https://lod.nal.usda.gov/nalt/10139	anti-emetics
https://lod.nal.usda.gov/nalt/1014	air transport
https://lod.nal.usda.gov/nalt/10142	antiinfective activity
https://lod.nal.usda.gov/nalt/10143	anti-inflammatory effects
https://lod.nal.usda.gov/nalt/10149	anti-inflammatory drugs
https://lod.nal.usda.gov/nalt/1015	containerisation (cargo)
https://lod.nal.usda.gov/nalt/10154	flumetasone
https://lod.nal.usda.gov/nalt/10155	glycyrrhizic acid
https://lod.nal.usda.gov/nalt/10156	indometacin
https://lod.nal.usda.gov/nalt/10158	NSAIDs (nonsteroidal anti-inflammatory agents)
https://lod.nal.usda.gov/nalt/1016	land transport
https://lod.nal.usda.gov/nalt/10160	anti-ulcer effect
https://lod.nal.usda.gov/nalt/10170	peptic ulcer
https://lod.nal.usda.gov/nalt/10175	drug plants
https://lod.nal.usda.gov/nalt/10177	antimycobacterial properties
https://lod.nal.usda.gov/nalt/10179	bacterial antagonism
https://lod.nal.usda.gov/nalt/10183	pharmaceutical residues
https://lod.nal.usda.gov/nalt/10184	antibacterial resistance
https://lod.nal.usda.gov/nalt/10185	MIC (minimum inhibitory concentration)
https://lod.nal.usda.gov/nalt/10186	anti-bacterial agents
https://lod.nal.usda.gov/nalt/10188	apramycin sulfate
