Label,NALT_URI
Anthocoris sibiricus,https://lod.nal.usda.gov/nalt/10000
biflavonoids,https://lod.nal.usda.gov/nalt/10004
flavans,https://lod.nal.usda.gov/nalt/10004_2
delphinidin chloride,https://lod.nal.usda.gov/nalt/10006
new technology,https://lod.nal.usda.gov/nalt/1001
novel technology,https://lod.nal.usda.gov/nalt/1001_2
anthomyiid flies,https://lod.nal.usda.gov/nalt/10012
Erioischia,https://lod.nal.usda.gov/nalt/10013
Leptohylemyia,https://lod.nal.usda.gov/nalt/10013_2
Chortophila,https://lod.nal.usda.gov/nalt/10017
snout beetles,https://lod.nal.usda.gov/nalt/10021
weevils,https://lod.nal.usda.gov/nalt/10021_2
cotton boll weevil,https://lod.nal.usda.gov/nalt/10022
apple blossom weevil,https://lod.nal.usda.gov/nalt/10023
boll weevil,https://lod.nal.usda.gov/nalt/10024
anthophorids,https://lod.nal.usda.gov/nalt/10028
cuckoo bees,https://lod.nal.usda.gov/nalt/10028_2
Hemisia,https://lod.nal.usda.gov/nalt/10031
Ataxia (Poaceae),https://lod.nal.usda.gov/nalt/10038
Dimesia,https://lod.nal.usda.gov/nalt/10038_1
Disarrenum,https://lod.nal.usda.gov/nalt/10038_2
Flavia,https://lod.nal.usda.gov/nalt/10038_3
Foenodorum,https://lod.nal.usda.gov/nalt/10038_4
Savastana,https://lod.nal.usda.gov/nalt/10038_5
Torresia,https://lod.nal.usda.gov/nalt/10038_6
Xanthanthos,https://lod.nal.usda.gov/nalt/10038_7
Xanthonanthos,https://lod.nal.usda.gov/nalt/10038_8
transport (transportation),https://lod.nal.usda.gov/nalt/1004
sweet vernal grass,https://lod.nal.usda.gov/nalt/10040
sweet vernalgrass,https://lod.nal.usda.gov/nalt/10040_1
vernal grass,https://lod.nal.usda.gov/nalt/10040_2
ALBV (Anthoxanthum latent blanching virus),https://lod.nal.usda.gov/nalt/10041
hordeivirus group,https://lod.nal.usda.gov/nalt/10042
hordeiviruses,https://lod.nal.usda.gov/nalt/10042_1
fungus diseases of plants,https://lod.nal.usda.gov/nalt/10053
rugulosins,https://lod.nal.usda.gov/nalt/10058
Bacillus cereus var. anthracis,https://lod.nal.usda.gov/nalt/10061
Bacteridium anthracis,https://lod.nal.usda.gov/nalt/10061_1
dermestid beetles,https://lod.nal.usda.gov/nalt/10063
Anthrenus vorax,https://lod.nal.usda.gov/nalt/10064
furniture carpet beetle,https://lod.nal.usda.gov/nalt/10064_1
varied carpet beetle,https://lod.nal.usda.gov/nalt/10065
fungus weevils,https://lod.nal.usda.gov/nalt/10073
garden chervil,https://lod.nal.usda.gov/nalt/10077
cow parsley,https://lod.nal.usda.gov/nalt/10078
wild chervil,https://lod.nal.usda.gov/nalt/10078_1
railway tracks,https://lod.nal.usda.gov/nalt/1008
railways,https://lod.nal.usda.gov/nalt/1008_1
train tracks,https://lod.nal.usda.gov/nalt/1008_2
anthropogenic disturbances,https://lod.nal.usda.gov/nalt/10082
anthropogenic effects,https://lod.nal.usda.gov/nalt/10082_1
anthropogenic impacts,https://lod.nal.usda.gov/nalt/10082_2
anthropogenic influences,https://lod.nal.usda.gov/nalt/10082_3
human activity (environmental impact),https://lod.nal.usda.gov/nalt/10082_4
human impact,https://lod.nal.usda.gov/nalt/10082_5
ethnography,https://lod.nal.usda.gov/nalt/10088
ecological risk assessment,https://lod.nal.usda.gov/nalt/10089
environmental analysis,https://lod.nal.usda.gov/nalt/10089_1
environmental evaluation,https://lod.nal.usda.gov/nalt/10089_2
environmental impact assessment,https://lod.nal.usda.gov/nalt/10089_3
environmental risk assessment,https://lod.nal.usda.gov/nalt/10089_4
ecological consequences,https://lod.nal.usda.gov/nalt/10090
human activity (behavior),https://lod.nal.usda.gov/nalt/10091
human behaviour,https://lod.nal.usda.gov/nalt/10091_1
eroded sites,https://lod.nal.usda.gov/nalt/10096
mined land,https://lod.nal.usda.gov/nalt/10099
bicycle paths,https://lod.nal.usda.gov/nalt/1010
bicycle trails,https://lod.nal.usda.gov/nalt/1010_1
bike paths,https://lod.nal.usda.gov/nalt/1010_2
bike trails,https://lod.nal.usda.gov/nalt/1010_3
biking paths,https://lod.nal.usda.gov/nalt/1010_4
biking trails,https://lod.nal.usda.gov/nalt/1010_5
bridle paths,https://lod.nal.usda.gov/nalt/1010_6
footpaths,https://lod.nal.usda.gov/nalt/1010_7
forest trails,https://lod.nal.usda.gov/nalt/1010_8
hiking paths,https://lod.nal.usda.gov/nalt/1010_9
hiking routes,https://lod.nal.usda.gov/nalt/1010_10
hiking trails,https://lod.nal.usda.gov/nalt/1010_11
human trails,https://lod.nal.usda.gov/nalt/1010_12
park trails,https://lod.nal.usda.gov/nalt/1010_13
recreational trails,https://lod.nal.usda.gov/nalt/1010_14
skid trails,https://lod.nal.usda.gov/nalt/1010_15
skidder trails,https://lod.nal.usda.gov/nalt/1010_16
snowmobile trails,https://lod.nal.usda.gov/nalt/1010_17
snowmobiling trails,https://lod.nal.usda.gov/nalt/1010_18
towpaths,https://lod.nal.usda.gov/nalt/1010_19
contaminated soils,https://lod.nal.usda.gov/nalt/10102
polder soils,https://lod.nal.usda.gov/nalt/10103
culinary heritage,https://lod.nal.usda.gov/nalt/10108
food culture,https://lod.nal.usda.gov/nalt/10108_1
food heritage,https://lod.nal.usda.gov/nalt/10108_2
food history,https://lod.nal.usda.gov/nalt/10108_3
food taboos,https://lod.nal.usda.gov/nalt/10108_4
food ways,https://lod.nal.usda.gov/nalt/10108_5
ethnomedicine,https://lod.nal.usda.gov/nalt/10109
ethnopharmacology,https://lod.nal.usda.gov/nalt/10109_1
folk medicine,https://lod.nal.usda.gov/nalt/10109_2
folk remedies,https://lod.nal.usda.gov/nalt/10109_3
home remedies,https://lod.nal.usda.gov/nalt/10109_4
indigenous medicine,https://lod.nal.usda.gov/nalt/10109_5
primitive medicine,https://lod.nal.usda.gov/nalt/10109_6
artisanal methods,https://lod.nal.usda.gov/nalt/10110
traditional processing,https://lod.nal.usda.gov/nalt/10110_1
social systems,https://lod.nal.usda.gov/nalt/10111
BMI (body mass index),https://lod.nal.usda.gov/nalt/10118
Quetelet index,https://lod.nal.usda.gov/nalt/10118_1
tramlines (controlled traffic),https://lod.nal.usda.gov/nalt/1012
engineering psychology,https://lod.nal.usda.gov/nalt/10122
human engineering,https://lod.nal.usda.gov/nalt/10122_1
human factors engineering,https://lod.nal.usda.gov/nalt/10122_2
stature,https://lod.nal.usda.gov/nalt/10123
mini nutrition assessment,https://lod.nal.usda.gov/nalt/10124
mini nutritional assessment,https://lod.nal.usda.gov/nalt/10124_1
nutrition indexes,https://lod.nal.usda.gov/nalt/10124_2
nutrition indices,https://lod.nal.usda.gov/nalt/10124_3
nutrition screening,https://lod.nal.usda.gov/nalt/10124_4
nutritional assessment,https://lod.nal.usda.gov/nalt/10124_5
nutritional indexes,https://lod.nal.usda.gov/nalt/10124_6
nutritional indices,https://lod.nal.usda.gov/nalt/10124_7
prognostic nutritional index,https://lod.nal.usda.gov/nalt/10124_8
skin fold thickness,https://lod.nal.usda.gov/nalt/10125
Anthurium andreanum,https://lod.nal.usda.gov/nalt/10127
common kidneyvetch,https://lod.nal.usda.gov/nalt/10129
kidney vetch,https://lod.nal.usda.gov/nalt/10129_1
