NALT_URI	Label
https://lod.nal.usda.gov/nalt/10	chemical bases
https://lod.nal.usda.gov/nalt/100	Procellariiformes
https://lod.nal.usda.gov/nalt/1000	engineering
https://lod.nal.usda.gov/nalt/10000	Anthocoris pilosus
https://lod.nal.usda.gov/nalt/10001	Anthocoris tomentosus
https://lod.nal.usda.gov/nalt/10003	anthocyanidins
https://lod.nal.usda.gov/nalt/10004	flavonoids
https://lod.nal.usda.gov/nalt/10005	cyanidin
https://lod.nal.usda.gov/nalt/10006	delphinidin
https://lod.nal.usda.gov/nalt/10007	pelargonidin
https://lod.nal.usda.gov/nalt/10008	anthocyanins
https://lod.nal.usda.gov/nalt/10009	glycoflavones
https://lod.nal.usda.gov/nalt/1001	technology
https://lod.nal.usda.gov/nalt/10010	cyanin
https://lod.nal.usda.gov/nalt/10012	Anthomyiidae
https://lod.nal.usda.gov/nalt/10013	Delia
https://lod.nal.usda.gov/nalt/10014	Hylemya
https://lod.nal.usda.gov/nalt/10015	Lasiomma
https://lod.nal.usda.gov/nalt/10016	Pegomya
https://lod.nal.usda.gov/nalt/10017	Phorbia
https://lod.nal.usda.gov/nalt/10018	Strobilomyia
https://lod.nal.usda.gov/nalt/10019	dung flies
https://lod.nal.usda.gov/nalt/10020	Anthonomus
https://lod.nal.usda.gov/nalt/10021	Curculionidae
https://lod.nal.usda.gov/nalt/10022	Anthonomus grandis
https://lod.nal.usda.gov/nalt/10023	Anthonomus pomorum
https://lod.nal.usda.gov/nalt/10024	Anthonomus grandis grandis
https://lod.nal.usda.gov/nalt/10026	Anthonotha
https://lod.nal.usda.gov/nalt/10028	Anthophoridae
https://lod.nal.usda.gov/nalt/1003	infrastructure
https://lod.nal.usda.gov/nalt/10031	Centris
https://lod.nal.usda.gov/nalt/10032	Ceratina
https://lod.nal.usda.gov/nalt/10033	Diadasia
https://lod.nal.usda.gov/nalt/10034	Melissodes
https://lod.nal.usda.gov/nalt/10035	Nomada
https://lod.nal.usda.gov/nalt/10036	Anthophysis
https://lod.nal.usda.gov/nalt/10037	Ochromonadaceae
https://lod.nal.usda.gov/nalt/10038	Anthoxanthum
https://lod.nal.usda.gov/nalt/10039	Anthoxanthum alpinum
https://lod.nal.usda.gov/nalt/1004	transportation
https://lod.nal.usda.gov/nalt/10040	Anthoxanthum odoratum
https://lod.nal.usda.gov/nalt/10041	Anthoxanthum latent blanching virus
https://lod.nal.usda.gov/nalt/10042	Hordeivirus
https://lod.nal.usda.gov/nalt/10049	corals
https://lod.nal.usda.gov/nalt/1005	airports
https://lod.nal.usda.gov/nalt/10050	Anthracambids
https://lod.nal.usda.gov/nalt/10051	Cambids
https://lod.nal.usda.gov/nalt/10052	anthracnose
https://lod.nal.usda.gov/nalt/10053	fungal diseases of plants
https://lod.nal.usda.gov/nalt/10054	Anthracoidea
https://lod.nal.usda.gov/nalt/10055	Ustilaginales
https://lod.nal.usda.gov/nalt/10057	anthraquinones
https://lod.nal.usda.gov/nalt/10058	quinones
https://lod.nal.usda.gov/nalt/10059	emodin
https://lod.nal.usda.gov/nalt/1006	bridges (infrastructure)
https://lod.nal.usda.gov/nalt/10060	anthrax
https://lod.nal.usda.gov/nalt/10061	Bacillus anthracis
https://lod.nal.usda.gov/nalt/10062	Anthrenus
https://lod.nal.usda.gov/nalt/10063	Dermestidae
https://lod.nal.usda.gov/nalt/10064	Anthrenus flavipes
https://lod.nal.usda.gov/nalt/10065	Anthrenus verbasci
https://lod.nal.usda.gov/nalt/10069	Anthrepts
https://lod.nal.usda.gov/nalt/1007	marinas
https://lod.nal.usda.gov/nalt/10070	Inceptisols
https://lod.nal.usda.gov/nalt/10071	Haplanthrepts
https://lod.nal.usda.gov/nalt/10072	Plagganthrepts
https://lod.nal.usda.gov/nalt/10073	Anthribidae
https://lod.nal.usda.gov/nalt/10075	Araecerus
https://lod.nal.usda.gov/nalt/10076	Anthriscus
https://lod.nal.usda.gov/nalt/10077	Anthriscus cerefolium
https://lod.nal.usda.gov/nalt/10078	Anthriscus sylvestris
https://lod.nal.usda.gov/nalt/1008	railroads
https://lod.nal.usda.gov/nalt/10080	chervil
https://lod.nal.usda.gov/nalt/10082	anthropogenic activities
https://lod.nal.usda.gov/nalt/10088	anthropology
https://lod.nal.usda.gov/nalt/10089	environmental assessment
https://lod.nal.usda.gov/nalt/1009	roads
https://lod.nal.usda.gov/nalt/10090	environmental impact
https://lod.nal.usda.gov/nalt/10091	human behavior
https://lod.nal.usda.gov/nalt/10092	anthropogenic soil types
https://lod.nal.usda.gov/nalt/10094	soil types
https://lod.nal.usda.gov/nalt/10095	disturbed soils
https://lod.nal.usda.gov/nalt/10096	eroded soils
https://lod.nal.usda.gov/nalt/10097	fish pond soils
https://lod.nal.usda.gov/nalt/10098	golf course soils
https://lod.nal.usda.gov/nalt/10099	mined soils
https://lod.nal.usda.gov/nalt/101	Psittaciformes
https://lod.nal.usda.gov/nalt/1010	man-made trails
https://lod.nal.usda.gov/nalt/10100	old field soils
https://lod.nal.usda.gov/nalt/10101	paddy soils
https://lod.nal.usda.gov/nalt/10102	polluted soils
https://lod.nal.usda.gov/nalt/10103	reclaimed soils
https://lod.nal.usda.gov/nalt/10104	reservoir soils
https://lod.nal.usda.gov/nalt/10105	roadside soils
https://lod.nal.usda.gov/nalt/10106	urban soils
https://lod.nal.usda.gov/nalt/10107	ethnobotany
https://lod.nal.usda.gov/nalt/10108	foodways
https://lod.nal.usda.gov/nalt/10109	traditional medicine
https://lod.nal.usda.gov/nalt/1011	waterways
https://lod.nal.usda.gov/nalt/10110	traditional technology
https://lod.nal.usda.gov/nalt/10111	society
https://lod.nal.usda.gov/nalt/10117	arm circumference
https://lod.nal.usda.gov/nalt/10118	body mass index
https://lod.nal.usda.gov/nalt/10119	head circumference
https://lod.nal.usda.gov/nalt/1012	wheel tracks
https://lod.nal.usda.gov/nalt/10120	small for gestational age
https://lod.nal.usda.gov/nalt/10121	body composition
https://lod.nal.usda.gov/nalt/10122	ergonomics
https://lod.nal.usda.gov/nalt/10123	height
https://lod.nal.usda.gov/nalt/10124	nutrition assessment
https://lod.nal.usda.gov/nalt/10125	skinfold thickness
https://lod.nal.usda.gov/nalt/10126	Anthurium
https://lod.nal.usda.gov/nalt/10127	Anthurium andraeanum
https://lod.nal.usda.gov/nalt/10128	Anthyllis
https://lod.nal.usda.gov/nalt/10129	Anthyllis vulneraria
https://lod.nal.usda.gov/nalt/10133	myocardial depressants
https://lod.nal.usda.gov/nalt/10135	antidiarrheal effect
https://lod.nal.usda.gov/nalt/10139	antiemetics
https://lod.nal.usda.gov/nalt/1014	air transportation
https://lod.nal.usda.gov/nalt/10142	anti-infective properties
https://lod.nal.usda.gov/nalt/10143	anti-inflammatory activity
https://lod.nal.usda.gov/nalt/10149	anti-inflammatory agents
https://lod.nal.usda.gov/nalt/1015	container transport
https://lod.nal.usda.gov/nalt/10152	betamethasone
https://lod.nal.usda.gov/nalt/10153	dexamethasone
https://lod.nal.usda.gov/nalt/10154	flumethasone
https://lod.nal.usda.gov/nalt/10155	glycyrrhizin
https://lod.nal.usda.gov/nalt/10156	indomethacin
https://lod.nal.usda.gov/nalt/10157	meloxicam
https://lod.nal.usda.gov/nalt/10158	nonsteroidal anti-inflammatory agents
https://lod.nal.usda.gov/nalt/10159	triamcinolone
https://lod.nal.usda.gov/nalt/1016	land transportation
https://lod.nal.usda.gov/nalt/10160	anti-ulcer activity
https://lod.nal.usda.gov/nalt/1017	water transportation
https://lod.nal.usda.gov/nalt/10170	peptic ulcers
https://lod.nal.usda.gov/nalt/10174	antibacterial plants
https://lod.nal.usda.gov/nalt/10175	medicinal plants
https://lod.nal.usda.gov/nalt/10177	antibacterial properties
https://lod.nal.usda.gov/nalt/10178	antibacterial proteins
https://lod.nal.usda.gov/nalt/10179	antibiosis
https://lod.nal.usda.gov/nalt/10180	resistance mechanisms
https://lod.nal.usda.gov/nalt/10181	antibiotic residues
https://lod.nal.usda.gov/nalt/10183	drug residues
https://lod.nal.usda.gov/nalt/10184	antibiotic resistance
https://lod.nal.usda.gov/nalt/10185	minimum inhibitory concentration
https://lod.nal.usda.gov/nalt/10186	antibiotics
https://lod.nal.usda.gov/nalt/10187	antimycin A
